Benchmark,HPWL_No_GiFt,HPWL_With_GiFt,HPWL_Improvement_%,Iterations_No_GiFt,Iterations_With_GiFt,Time_No_GiFt_s,Time_With_GiFt_s,GiFt_Opt_Time_s,Adj_Matrix_Time_s
FPGA05,12860910.0,6835948.0,46.84708935837355,696,497,19.24,46.18,27.418,8.99
FPGA08,5979123.0,5845169.0,2.2403620062674743,667,519,25.07,75.11,48.424,17.974
FPGA-example3,5906234.0,5927948.0,-0.36764544039399727,630,494,18.45,45.58,26.647,8.581
FPGA11,6683762.0,6751628.0,-1.0153862450518136,658,519,29.1,84.92,53.51,17.365
FPGA-example4,5969404.0,6046062.0,-1.284181804414645,661,520,29.1,84.31,52.552,16.562
FPGA09,7027304.0,7119717.0,-1.3150562434754496,656,515,29.34,85.82,54.169,17.396
FPGA01,190041.5,195933.2,-3.1002175840540156,557,452,9.16,15.03,6.211,1.764
FPGA-example1,8827.037,9121.359,-3.334323850687384,640,549,8.76,8.21,0.198,0.065
FPGA07,5341674.0,5541524.0,-3.741336517353923,640,493,25.41,70.17,42.983,12.673
FPGA-example2,2153983.0,2243661.0,-4.163356906716534,655,523,21.51,55.89,33.361,10.497
FPGA02,429452.0,452019.1,-5.2548596816407835,656,547,12.54,22.21,10.392,3.417
FPGA12,3509792.0,3697560.0,-5.349832696638433,670,519,37.23,107.89,67.487,19.685
FPGA06,2960960.0,3147210.0,-6.290189668215714,649,506,25.41,69.83,42.517,12.474
FPGA10,2907573.0,3120203.0,-7.312972021682689,641,507,33.18,92.26,55.879,14.388
FPGA04,3587958.0,4062422.0,-13.223789130196062,630,548,17.89,46.25,26.95,8.772
FPGA03,1855221.0,22872100.0,-1132.850425906132,644,644,17.83,47.68,26.807,9.069
